nama,semester,jenis
Animasi Komputer,Ganjil,Pilihan
Audit Sistem Informasi,Ganjil,Pilihan
Computer Forensics,Ganjil,Pilihan
Cyber Law,Ganjil,Pilihan
Ethical Hacking,Ganjil,Pilihan
Grafika 3 Dimensi,Ganjil,Pilihan
Jaringan Nirkabel & Sistem Bergerak,Ganjil,Pilihan
Layanan Web.,Ganjil,Pilihan
Logika Fuzzy,Ganjil,Pilihan
Manajemen Jaringan Komputer,Ganjil,Pilihan
Manajemen Proses Bisnis,Ganjil,Pilihan
Pemrograman Berorientasi Komponen,Ganjil,Pilihan
Pemrograman GIM,Ganjil,Pilihan
Pemrosesan Pararel,Ganjil,Pilihan
Pengamanan Sistem Komputer,Ganjil,Pilihan
Pengembangan GIM,Ganjil,Pilihan
Rekayasa Web,Ganjil,Pilihan
Semantic WEB,Ganjil,Pilihan
Sistem Informasi Geografis,Ganjil,Pilihan
Sistem Informasi Kesehatan,Ganjil,Pilihan
Sistem Manajemen Basisdata,Ganjil,Pilihan
Sistem Pakar,Ganjil,Pilihan
Sistem Pendukung Keputusan,Ganjil,Pilihan
Teknik Pengolahan Citra,Ganjil,Pilihan
Teknologi XML,Ganjil,Pilihan
Telemedicine,Ganjil,Pilihan
