nama,semester,jenis
Pr. Algoritma & Pemrograman 1,Ganjil,Praktikum
Algoritma dan Pemrograman (P),Ganjil,Praktikum
Basisdata (P),Genap,Praktikum
Pr. Basisdata,Genap,Praktikum
Sistem Operasi (P),Genap,Praktikum
Pr. Sistem Operasi,Genap,Praktikum
Pemrograman Berorientasi Objek (P),Ganjil,Praktikum
Pr. Pemrograman Berorientasi Objek,Ganjil,Praktikum
Jaringan Komputer (P),Ganjil,Praktikum
Pr. Jaringan Komputer,Ganjil,Praktikum
Struktur Data (P),Genap,Praktikum
Pr. Struktur Data,Genap,Praktikum
Pemrograman Web (P),Genap,Praktikum
Pr. Pemrograman Web,Genap,Praktikum
