nama,semester,jenis
Algoritma dan Pemrograman 1,Ganjil,Wajib
Aljabar Linier dan Matriks,Ganjil,Wajib
Animasi Komputer,Ganjil,Pilihan
Audit Sistem Informasi,Ganjil,Pilihan
Cyber Law,Ganjil,Pilihan
Fundamen Informatika (Kur. 2016),Ganjil,Wajib
Grafika 3 Dimensi,Ganjil,Pilihan
Grafika Komputer,Ganjil,Wajib
Interaksi Manusia dan Komputer,Ganjil,Wajib
Jaringan Komputer,Ganjil,Wajib
Jaringan Nirkabel & Sistem Bergerak,Ganjil,Pilihan
Kecerdasan Buatan,Ganjil,Wajib
Kewirausahaan,Ganjil,Wajib
Layanan Web.,Ganjil,Pilihan
Logika Fuzzy,Ganjil,Pilihan
Logika Matematika,Ganjil,Wajib
Manajemen Jaringan Komputer,Ganjil,Pilihan
Manajemen Proses Bisnis,Ganjil,Pilihan
Metodologi Penelitian,Ganjil,Wajib
Multimedia,Ganjil,Wajib
Pemikiran Desain (Kur. 2016),Ganjil,Wajib
Pemrograman Berorientasi Komponen,Ganjil,Pilihan
Pemrograman Berorientasi Obyek,Ganjil,Wajib
Pemrograman dan Struktur Data (Kur. 2016),Ganjil,Wajib
Pemrograman GIM,Ganjil,Pilihan
Pemrosesan Pararel,Ganjil,Pilihan
Pengamanan Sistem Komputer,Ganjil,Pilihan
Pengantar Teknologi Informasi,Ganjil,Wajib
Pengembangan GIM,Ganjil,Pilihan
Rekayasa Web,Ganjil,Pilihan
Riset Operasi,Ganjil,Wajib
Semantic WEB,Ganjil,Pilihan
Sistem Informasi,Ganjil,Wajib
Sistem Informasi Geografis,Ganjil,Pilihan
Sistem Manajemen Basisdata,Ganjil,Pilihan
Sistem Pakar,Ganjil,Pilihan
Teknik Pengolahan Citra,Ganjil,Pilihan
Teknologi XML,Ganjil,Pilihan
Teori Bahasa dan Otomata,Ganjil,Wajib
